%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.06,98.68,0.19,0.00,0.08,3952127280.0,652.4,7.18,370.42,2243966314.0
0.00,9.85,89.73,0.00,0.00,0.42,28.0,28.0,5.0,0.0,0.0
0.00,9.83,89.59,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.70,89.80,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.60,89.82,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.67,89.49,0.17,0.00,0.67,44.0,44.0,2.0,0.0,0.0
0.00,9.66,89.68,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.09,89.57,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,9.92,89.58,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.98,89.43,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.83,89.50,0.17,0.00,0.50,16.0,16.0,2.0,0.0,0.0
0.00,9.82,89.43,0.00,0.00,0.75,12.0,12.0,2.0,0.0,0.0
0.00,9.76,89.66,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.76,89.74,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.83,89.58,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.92,89.50,0.17,0.00,0.42,16.0,16.0,2.0,0.0,0.0
0.00,9.92,89.50,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.68,89.73,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.90,89.52,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,10.16,89.59,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,9.53,89.63,0.17,0.00,0.67,12.0,12.0,2.0,0.0,0.0
0.00,9.92,89.67,0.00,0.00,0.42,56.0,56.0,10.0,0.0,0.0
0.00,9.76,89.66,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.84,89.66,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.93,89.73,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,10.00,89.42,0.25,0.00,0.33,36.0,36.0,2.0,0.0,0.0
0.00,9.90,89.52,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.85,89.73,0.00,0.00,0.42,0.0,0.0,0.0,0.0,0.0
0.00,9.84,89.66,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.92,89.58,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.77,89.57,0.17,0.00,0.50,12.0,12.0,2.0,0.0,0.0
0.00,9.77,89.73,0.00,0.00,0.50,16.0,16.0,1.0,0.0,0.0
0.00,9.83,89.51,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,9.73,89.52,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,9.92,89.50,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,9.90,89.35,0.17,0.00,0.58,20.0,20.0,2.0,0.0,0.0
0.00,9.85,89.65,0.00,0.00,0.50,60.0,60.0,13.0,0.0,0.0
0.00,9.98,89.52,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.67,89.58,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,9.73,89.52,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,9.60,89.57,0.17,0.00,0.67,12.0,12.0,2.0,0.0,0.0
0.00,9.83,89.51,0.00,0.00,0.67,12.0,12.0,2.0,0.0,0.0
0.00,9.66,89.51,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,9.59,89.66,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,9.77,89.81,0.00,0.00,0.42,0.0,0.0,0.0,0.0,0.0
0.00,9.85,89.82,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,9.98,89.18,0.25,0.00,0.58,16.0,16.0,2.0,0.0,0.0
0.00,9.66,89.59,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,9.83,89.67,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,9.67,89.50,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,9.74,89.59,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,9.83,89.42,0.17,0.00,0.58,48.0,48.0,10.0,0.0,0.0
0.00,9.82,89.43,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
