time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000121148,5206430,927818,9080130469
2.00031214,5046664,912512,9071132055
3.00047622,5057225,906196,9107429836
4.00066299,5056631,909363,9164414195
5.000822868,5019723,895097,9196162675
6.000978132,5074171,909508,9154806075
7.001131334,5050111,901945,9114494481
8.001286656,5032314,898158,9174707383
9.001443313,5020393,902476,9108953469
10.00159743,4974770,887957,9143024663
11.001762507,5084380,907836,9190364540
12.001919951,5029100,908328,9178355101
13.002079215,4993491,910213,9092119104
14.002235681,5020385,907819,9105291007
15.002393087,5056551,905688,9100385930
16.002550826,5078565,907732,9157382733
17.002719119,5070568,906018,9187902286
18.00287697,5078282,910921,9169841111
19.003033057,5086307,910011,9252645562
20.003190107,5068197,912493,9195489488
21.003359282,5067193,904189,9170160178
22.00351446,5030461,899381,9113920824
23.003672708,5076818,911945,9281318900
23.519996528,2633316,473087,4768227333
