time,L2 Prefetches,L2 Prefetch Misses,instructions
1.000135609,25330622,22498078,9190277758
2.000322569,25108529,22322740,9125149272
3.00047767,25279954,22470101,9172338204
4.000628361,25206700,22408818,9125428064
5.000782245,25209114,22409976,9131408741
6.000940205,25273857,22488092,9175784745
7.00109375,25328984,22491085,9109018458
8.001248084,25406135,22552116,9169393354
9.001410503,25201668,22370242,9115817022
10.001563345,25268082,22414095,9105285116
11.001714719,25374475,22537355,9160076836
12.001875436,25452641,22609159,9203357002
13.002032101,25346260,22511887,9163613855
14.002184054,25272120,22440945,9133793373
15.002339493,25522423,22680309,9238347773
16.002491464,25413902,22573916,9183829456
17.002646826,25434996,22597001,9185343207
18.002802384,25498106,22679193,9227810511
19.002957777,25244800,22414441,9118578842
20.003111716,25324934,22498593,9175349943
21.003280072,25297983,22461654,9125787703
22.003434986,25412374,22566158,9139379162
23.00358609,25501817,22652933,9187015030
23.509253522,12830256,11396149,4617125291
