time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000109742,17247075,3156961,6109147026
2.000666738,17065521,3099829,6029701486
3.000831718,17110603,3099761,6026997515
4.000994549,17245812,3131660,6047798613
5.001159458,16882528,3059411,5985373741
6.001318912,17038354,3096337,5974873182
7.001498153,17470074,3175496,6161256326
8.001674689,16985770,3091827,6018829560
9.001841802,17035771,3090208,5995555792
10.002005972,17148526,3106942,6023227633
11.002166678,16980194,3084035,5971916351
12.002328123,17080260,3106092,6010047385
13.002491315,17094807,3095560,5998974417
14.002656154,17054103,3092639,6008158841
15.00281793,17081204,3099333,5991828178
16.002978704,17191610,3122546,6053845644
17.003143207,16965960,3081358,5971907575
18.003305835,17291463,3147922,6134804112
19.00347739,17010397,3092911,6007097487
20.003648623,17191553,3118149,6027855856
21.003822767,16841928,3054856,5985477708
22.003991448,17370989,3150965,6082253074
23.004154295,16932696,3085347,5989485986
24.004316599,17148510,3100355,6013079365
25.004484066,16912685,3075145,5991576138
26.004654632,16895920,3071519,5989972540
27.004820731,16960385,3062899,5966988367
28.004987358,17124264,3098991,6034850716
29.005151838,16980966,3088458,5965569890
30.005312609,17082478,3105897,6050440361
31.005480517,16929622,3075078,5973798158
32.005649833,16998104,3098782,6000105961
33.005819184,17238566,3126839,6097424981
34.0059832,17146751,3106732,6025967185
35.006147657,16907767,3075561,5990515960
36.006309047,17096461,3097340,6006947107
37.006483026,16935116,3075660,5985937495
38.006648169,16969050,3080172,5974405901
39.006811198,16921469,3069665,5976810234
40.006975423,17056354,3103642,6048855789
41.007141455,16994307,3082707,5967859054
42.007322309,17355993,3145680,6120765773
43.007493329,17150010,3124473,6112219147
44.007659448,17226918,3136480,6108973299
45.007822394,17372194,3142972,6116202287
46.007986174,17357727,3141632,6093559665
47.008149359,17203985,3125163,6114728757
48.008314404,17440657,3151459,6150233607
49.008484914,17359217,3139437,6083286887
50.008647684,17228708,3127647,6111639775
51.008809949,17367805,3147929,6127403218
52.008974443,17283389,3129159,6098828218
53.00914126,17288741,3137340,6107435189
54.009304385,17341070,3151278,6123983297
55.009472003,17254459,3140675,6109618516
56.009640483,17333748,3157056,6096032643
57.009804076,17350269,3141612,6102307507
58.009970265,17213703,3141968,6104196520
59.010132848,17264537,3136206,6104072754
60.010298908,17396218,3145500,6099462504
61.010464846,17320588,3151642,6114445175
62.010648749,17474120,3167928,6166379857
63.010813636,17439336,3171995,6170164169
64.010981559,17230250,3126064,6112086345
65.011147745,17261617,3136189,6097427233
66.011307105,17444386,3164655,6145052728
67.011476922,17233780,3135241,6109012230
68.011641409,17326576,3147706,6112333266
69.011806771,17281998,3131000,6110298954
70.011970254,17263707,3140814,6131040273
71.012130745,17320229,3136406,6101054689
72.012290769,17297963,3150707,6124311207
73.012457004,17276731,3130159,6099188593
74.012621059,17300536,3146616,6098627835
75.012784219,17192305,3144700,6115637454
76.012946479,17320885,3146797,6094595000
77.01311956,17277330,3132830,6090048848
78.01328342,17357617,3143575,6110320788
79.013450107,17204940,3137170,6128393443
80.013620333,17458849,3158098,6133556558
81.013784384,17253725,3130934,6091502013
81.952021401,16363264,2978679,5776061079
