time,r01c2,r010e,cycles,instructions
1.000146834,5309185835,5169198542,3190826184,4944594733
2.000340001,5409191242,5261115688,3243740452,5028735508
3.000505921,5368282720,5221776013,3229003478,4991722084
4.000676427,5415995715,5268253352,3245242543,5035823477
5.000845824,5400348376,5252522518,3249685442,5020600579
6.001008975,5387494888,5240421302,3236503786,5009738708
7.001192029,5422777335,5274833211,3255776705,5043432657
8.001357896,5419510621,5271100911,3255649320,5039701870
9.00155964,5397972878,5250125687,3245193734,5018993461
10.001731962,5402217683,5253838420,3244090386,5022079293
11.001900267,5403324131,5255251585,3248192531,5023454008
12.002067377,5403457549,5255117936,3242376457,5023583582
13.002245654,5411671188,5263646694,3250492549,5032266964
14.002429355,5408704943,5261067942,3247135739,5029044867
15.002589919,5410233088,5262099725,3248572819,5030047787
16.0027648,5389293606,5241295602,3236159824,5010107788
17.002933131,5391462127,5243749300,3235824477,5012111161
18.003100035,5417565935,5269154189,3254236540,5036848510
19.003272119,5367201367,5220539854,3231435558,4990181571
20.003443997,5414061448,5266242573,3250467706,5033444492
21.003612912,5384731899,5237516498,3240042930,5006716149
22.003828522,5413089954,5265507866,3255248565,5033221789
23.004005688,5379195276,5232335132,3228317297,5001784462
24.004175248,5372801779,5225510358,3229408968,4995074870
25.004358294,5374604053,5227166415,3223734863,4995646087
26.004524262,5418328105,5270024467,3254470555,5036785270
27.004695701,5434784964,5286047422,3260188995,5051983305
28.004866828,5364929098,5217765157,3217986938,4986221686
29.005037901,5372559680,5226014650,3237471906,4994948726
30.005224165,5368925747,5222510077,3230634319,4991740497
31.005409105,5402252106,5254690014,3242521590,5022392281
32.005593656,5398153170,5250615248,3242567461,5018866824
33.005761363,5400848273,5253272633,3242528553,5021497773
34.005929459,5411325763,5263437597,3249984241,5030915578
35.006115986,5404902288,5257499340,3249755760,5025762737
36.006282064,5385057656,5237575786,3244124526,5006458001
37.006451395,5422692546,5274773268,3255770469,5042045555
38.006642625,5360053074,5213227354,3225430519,4983474884
39.006815888,5371308239,5224801180,3226173620,4994590899
40.006992034,5407533076,5259224296,3247811679,5026834417
41.007172396,5393164785,5245611737,3246446600,5015224908
42.007343383,5405101517,5257402988,3243713807,5025863332
43.007538898,5432424375,5284577438,3262507960,5051631985
44.00771319,5405469739,5257478726,3253222752,5025455472
45.007884813,5397733875,5250668606,3250016140,5018782794
46.00804696,5400619486,5253023102,3251481406,5021500005
47.00822953,5407924692,5260665214,3247756734,5028835765
48.008407992,5377172132,5230248079,3237612670,4999839574
49.008593994,5396312295,5249290375,3250482076,5017562297
50.008761917,5390160824,5243265987,3244101946,5012156606
51.008938041,5402509850,5255051837,3249117197,5023348349
52.009118682,5390092105,5243182993,3236474287,5011804008
53.009294136,5428280170,5279563022,3258893826,5046238503
54.009462292,5410763883,5263051709,3248142967,5031006970
55.00964012,5413538291,5265838251,3255109559,5033099123
56.0097993,5382468931,5235938934,3239291249,5005220093
57.009969974,5380239929,5233182293,3231887652,5002333742
58.010137471,5422103112,5273838430,3255570040,5041449159
59.010308827,5397281073,5249752709,3242506300,5018048965
60.010474177,5381045421,5233846951,3236655351,5002727169
61.010649145,5370454469,5224066238,3230735181,4993406856
62.010829844,5397056621,5248979466,3242765217,5018531079
63.010996528,5430397031,5282487623,3261131239,5048535534
64.011163386,5387818480,5240814898,3245779194,5009034345
65.011331897,5432013779,5284333631,3262903204,5051338404
66.011502388,5374865455,5227764657,3230201873,4996658074
67.011698561,5402842220,5255501620,3243034741,5023027354
68.011874867,5425042274,5276903475,3261689443,5043862457
69.012046102,5354085582,5207785134,3223851929,4977371377
70.012217571,5374752058,5228050824,3231262510,4996876518
71.012380581,5408441925,5260884236,3250819375,5028813154
72.012560362,5421631756,5273856226,3260063056,5040241043
73.012749332,5430887882,5282434842,3262373046,5049877162
74.01291739,5413762749,5265782498,3254353316,5032462080
75.013090626,5401317877,5253913209,3245211613,5022044299
76.01326017,5425613164,5277440786,3254804817,5044288288
77.013445159,5407867341,5260632349,3249812439,5027990783
78.013609251,5415678719,5267903689,3257122234,5035363209
79.013782543,5363601672,5217112642,3226617334,4986833963
80.013951182,5405421106,5257467027,3250858216,5025405599
81.014135373,5377265570,5230960770,3229517758,5000211230
82.014300362,5421597607,5273225240,3258059884,5040444100
83.014471523,5420433842,5272833717,3257496071,5040015221
84.014637918,5398317322,5250980442,3245503525,5019074636
85.014816637,5385870420,5238894718,3236655299,5007221107
86.0149921,5396158492,5248653432,3240070316,5017649466
87.015163283,5332665257,5187722840,3208011097,4958152647
88.015332987,5378164765,5231442583,3239087900,5000457289
89.015498653,5393227797,5246589096,3245031230,5015391596
90.015678118,5371452326,5224148926,3231366753,4993071327
91.015855442,5415459807,5268709613,3254618720,5036359178
92.016034934,5390913701,5243995433,3242691998,5012405358
93.016200936,5387374210,5240275181,3243278524,5009057473
94.016374241,5422076512,5273948683,3250025616,5040813635
95.016542379,5332932144,5187814948,3211530043,4958563816
96.016707727,5398670498,5251367915,3242916344,5019979824
97.01688893,5396478475,5249206933,3249013442,5017470502
98.017060462,5389496859,5242556888,3241157883,5010733742
