time,r01c2,r010e,cycles,instructions
1.000136876,7069126046,6625225836,3586901883,6056562932
2.000323953,7144277383,6694116193,3617667118,6119111442
3.000483144,7106303598,6660724376,3598242113,6090744240
4.000640169,7129724026,6682816318,3612534927,6110485956
5.000797103,7138303107,6689271126,3617221886,6114896315
6.000958542,7120286285,6675203132,3611318467,6104336362
7.001115538,7113592355,6667599413,3611558863,6096905802
8.001279102,7145649867,6695783526,3616348072,6120722704
9.001438758,7109776834,6663591216,3606823566,6093393155
10.00160129,7121764188,6674768124,3612340391,6102931013
11.001769203,7130887406,6684292568,3613777516,6112268161
12.001992481,7105508970,6661480386,3607607214,6092271166
13.002153091,7122342831,6675964495,3611010623,6104134809
14.002319853,7118406181,6671860642,3609938107,6100224150
15.002480204,7120546521,6675185708,3610822145,6104585811
16.002653817,7126601242,6678192312,3611503409,6105304101
17.002819788,7116697851,6670578271,3608409736,6099475546
18.002988278,7141459357,6692244532,3617224307,6118406547
19.003151422,7125995284,6678827087,3611027601,6106862798
20.003318273,7128480245,6681133061,3614279433,6108195882
21.003484829,7136122472,6687050613,3614144600,6113450832
22.003650133,7116372306,6671585372,3611043071,6102247330
23.003814917,7151658899,6701774058,3617440456,6126787365
24.003997598,7137311378,6687938657,3610218840,6114157770
25.004176495,7148960268,6700061842,3618103885,6126408255
26.004341999,7148953961,6699693714,3617099667,6125637037
27.004506253,7127474264,6679659037,3609195201,6106880347
28.00467122,7111808705,6667471463,3607821099,6098390074
29.004841822,7139862779,6690569244,3612304468,6116815011
30.005003612,7146507239,6696360546,3616147260,6122170758
31.005167042,7139947052,6692543167,3614028054,6119359622
32.005348009,7136701530,6687344627,3612126728,6113986640
33.005588663,7121993192,6675905869,3611241030,6105609744
34.005751315,7152175209,6702279301,3617869713,6128490671
35.005917301,7130669724,6682826054,3610331394,6110276177
36.006104845,7146556648,6697409909,3616898917,6123431398
37.006270109,7130984208,6682970616,3612676128,6110260620
38.00643577,7140665069,6693197669,3614696064,6121268439
39.006598888,7167426453,6714298200,3621148415,6136405719
40.006762815,7137681081,6690795565,3614310988,6118873069
41.006929067,7134563287,6686013685,3610846612,6112714694
42.007092223,7148950007,6698228571,3617772658,6123540573
43.007249876,7152842908,6702696970,3617735151,6127874852
44.007412409,7138394114,6690857726,3615464962,6118540307
45.007570054,7133294543,6685419506,3611649724,6113180239
46.007726962,7158254757,6707547432,3617979305,6132284122
47.008065069,7146844806,6696354893,3616705705,6121337419
48.008224232,7124772243,6679641697,3610772128,6109394716
49.008380334,7119911546,6672223516,3609986397,6100455832
50.008545977,7142748504,6694012436,3616086318,6120570000
51.008707688,7108842507,6661700146,3603883975,6090789331
52.008876293,7129430231,6681430254,3609403230,6108901243
53.009037916,7144104095,6695527200,3616736364,6122394143
54.009202207,7132201635,6683882794,3611330927,6111319178
55.009368274,7156045388,6704842339,3618688407,6128583482
56.009535882,7140830858,6693637573,3615192500,6121570126
57.00969997,7143233884,6693829279,3611363626,6120315634
58.009869212,7152116963,6701718435,3617589498,6127165717
59.010036635,7121634102,6675539250,3610271114,6104945859
60.010233311,7123352013,6676628243,3611252337,6105412819
61.010391826,7131080405,6683465750,3610694224,6111139886
62.010566587,7152456399,6702073105,3617176620,6127722690
63.010727556,7100131014,6654796256,3591921651,6084985634
64.010897089,7167109023,6715552535,3623711671,6138744756
65.011062529,7102397282,6657756766,3604677927,6088876015
66.011222196,7129298469,6681905022,3611433695,6110147766
67.011384624,7160845136,6709894007,3620303142,6134115388
68.011549688,7149945190,6700532611,3616025361,6126633030
69.01171117,7154439445,6703819607,3616357297,6128640783
70.011880557,7169483003,6718371270,3624374530,6141780137
71.012056303,7137545152,6689783305,3611927673,6117558266
72.012217572,7145804887,6696744127,3616404893,6123072377
73.012381115,7126362485,6679887941,3608145425,6108781137
74.012545967,7158772781,6708277206,3620322941,6133125825
75.01270571,7159887554,6708913970,3618241187,6133329591
76.012872793,7126647816,6680336801,3609758683,6109356088
77.013049007,7129539339,6681770478,3610660559,6109733758
78.01321267,7134506273,6685521142,3614571837,6112425844
79.013368912,7135190300,6687242045,3614362833,6115016631
80.013529575,7149388273,6699462835,3618118766,6125302416
81.013694435,7122972594,6675518356,3610603643,6103359795
81.309665521,2106649292,1975110158,1067618954,1806270782
