time,r01c2,r010e,cycles,instructions
1.000145985,7558651318,7128130675,3936247898,6558083480
2.000334282,7736371293,7290303577,4016801923,6702852245
3.000494398,7758166725,7310536072,4024546448,6721065370
4.00065185,7762113552,7314857849,4021688155,6725909922
5.000810746,7781657226,7331600918,4030180609,6739134718
6.000988578,7772130292,7322981727,4030894731,6730867695
7.001151457,7773320167,7324809849,4031310242,6734505135
8.001312856,7793519221,7342353237,4039078516,6748880610
9.001477895,7810913518,7357943226,4045449195,6761911682
10.001644559,7766350903,7316962205,4027638062,6726312749
11.001803889,7813904643,7359975975,4044806504,6763085765
12.001978116,7829545591,7374200492,4050540545,6775525841
13.002132185,7793917272,7343016536,4039200401,6750365828
14.002319311,7809168691,7356596869,4037812416,6762442327
15.002481596,7811159849,7359166705,4038708291,6764779562
16.002652906,7845941505,7389713453,4049440742,6792693125
17.002809681,7803883448,7352258057,4039122877,6759597737
18.002985503,7826200549,7372145766,4042882478,6776089493
19.003145212,7807245595,7356071314,4038356007,6762758907
20.003306966,7800138024,7348331054,4037640145,6755727667
21.003472545,7791890468,7340528311,4033696758,6747854227
22.00365128,7785340641,7335653803,4029877448,6744736670
23.003814611,7807391481,7355616926,4038712849,6762417261
24.003993686,7813573433,7360882783,4041947370,6766240452
25.004162289,7836496842,7380995002,4045756853,6783306282
26.004327279,7831837251,7378058630,4044085802,6782240883
27.004491549,7775402136,7326577963,4028818757,6737366944
28.00465592,7786531821,7335622236,4031486365,6745286602
29.00481401,7800052080,7347838497,4037183297,6754550036
30.004996595,7822416555,7368385105,4043361903,6773719270
31.00516438,7784859112,7335547365,4027093967,6744499686
32.005339628,7845205696,7389464517,4047769643,6792253329
33.005501315,7789309375,7339309040,4030941556,6747681776
34.005667141,7790229128,7340030043,4033132254,6748083578
35.005829456,7813208084,7360640864,4042825982,6766356150
36.006023635,7771989513,7324026077,4024496303,6734203869
37.006187464,7804529481,7352776917,4037649497,6759608691
38.006356039,7815347778,7362392157,4042499715,6767226769
39.006524405,7788643342,7339341773,4030108626,6747991093
40.006694184,7799531281,7347728691,4035606403,6754821886
41.006874296,7819292253,7367241511,4040223257,6773144600
42.00709175,7812470582,7359377148,4041409373,6764677215
43.00725175,7782755216,7333623045,4032100332,6742540304
44.007427584,7790617266,7340256991,4033015456,6748053249
45.00759003,7803396777,7352615471,4037582673,6760166601
46.00775321,7827150638,7372718702,4042295813,6776385897
47.007931821,7810998052,7359045701,4039357659,6764686377
48.008093855,7815980087,7363704380,4039747447,6769841195
48.99148034,7662726567,7219312984,3964021315,6636363446
