time,SB Resource Stalls,Total Resource Stalls,ROB Resource Stalls,RS Resource Stalls,instructions
1.000167708,107915774,1382479265,69752978,1126623498,4982590314
2.000373701,109168341,1398712632,69508451,1141351694,5047947206
3.000550482,108504641,1388584145,69941222,1131809654,5005554494
4.00072576,109263799,1399120527,69674811,1141488184,5047491603
5.000897806,109056844,1400706589,71915493,1140395951,5041811019
6.001085627,109151814,1398622800,70161305,1140540966,5036673659
7.001262895,109573871,1400729005,69754175,1143074919,5051477938
8.001440838,109665146,1403339592,71001942,1143448060,5053085792
9.001622758,108806926,1392959452,69820837,1135812409,5023915324
10.001796469,109078064,1399412474,70205492,1141049557,5046140700
11.001971742,108734420,1399885101,71065902,1140874061,5044668689
12.002173784,108998480,1398419169,69979786,1141063733,5045365446
13.002359997,109268304,1400467049,70670177,1141374453,5046785900
14.002551143,109350845,1400600564,69314371,1143450127,5048208844
15.002725653,108456241,1392857092,69214564,1136711448,5028710531
16.002899917,109249005,1396706514,69606370,1139109484,5036822270
17.003075155,108641356,1391744609,68347097,1136616042,5024508754
18.003266491,109435133,1401947400,70311934,1143186826,5054051928
19.00347536,109070332,1397201464,70997768,1137975429,5029598018
20.003652908,108898172,1395311436,69506163,1138229198,5030912506
21.003827405,108483285,1394214674,71311644,1135158905,5019992194
22.004008142,110067308,1408320448,70403421,1148188565,5068898133
23.00418529,108437622,1388768145,68399802,1133912573,5012812659
24.004376073,108006565,1389267827,70276488,1132322180,5008512101
25.004549817,107897120,1386350059,68661076,1131738900,5008522705
26.004733583,109808341,1406986145,71141135,1146105319,5062882859
27.004914987,109030262,1395090767,68769665,1138896706,5037603768
28.005094665,108810528,1395057393,69150935,1138568328,5031249854
29.005270701,108339974,1394054061,71627706,1134729286,5013118953
30.005462546,108568445,1393778657,69742204,1136909822,5026633318
31.005646676,108772183,1392145718,68325646,1137082474,5026894098
32.00582122,109447732,1399088074,69781900,1141314497,5042715827
33.005996432,109058787,1398645147,69234622,1141721528,5043807819
34.0061751,108071472,1391298916,70279685,1134144307,5014061084
35.006353085,108856771,1398805897,70505498,1140437114,5036196060
36.006544514,108456905,1393757460,72337053,1133191556,5012912069
37.006720362,108954885,1399584739,70521179,1141229230,5040898884
38.006905101,107673138,1384909199,70208248,1128434772,4989178323
39.007080045,108608002,1396594373,69731868,1139806981,5033667773
40.00725488,108799446,1396662687,69863141,1139245821,5037739440
41.00742772,108825057,1397361384,72231478,1136688758,5023179037
42.007617516,109279678,1399567127,69681876,1141825126,5042773727
43.007793067,109507397,1402745458,70279347,1143746295,5050116331
44.00798566,109364346,1402384926,71872370,1141150830,5041891421
45.008162092,109186153,1397786480,71788878,1137114101,5025916929
46.008336718,109468954,1403729195,71515165,1142815902,5048539771
47.008511493,109731531,1402748950,69091268,1145103935,5057714014
48.008721571,108654226,1394411163,71319339,1135203257,5018863877
49.008904897,109078551,1399337167,71564264,1138894105,5029266433
50.009091401,108950254,1399843183,72019885,1139053564,5031156718
51.009264972,109141598,1403403760,70862326,1144021093,5052916003
52.009452174,108228437,1392212382,69547446,1135616143,5020286895
53.009649712,108870820,1401804219,69935466,1143427866,5054210166
54.009872171,108846563,1394404008,69956551,1136452532,5026376281
55.010056512,109273498,1407268244,71957418,1145914591,5059666288
56.010234385,108274020,1396367847,70655658,1138459100,5029594752
57.010422032,108814124,1399088950,69387075,1141980392,5046822035
58.010602792,108490304,1395752752,69691841,1138682674,5031565036
59.010792781,108774051,1399260723,70010301,1141430260,5043294954
60.011001671,108584676,1397756495,71851603,1137657118,5030660310
61.011179159,107911755,1388817207,69947112,1132419075,5006212745
62.011366423,109227885,1404611158,71792380,1143558672,5055554717
63.011540488,109422566,1406732934,71077044,1146470566,5063082744
64.011714596,108877212,1398268033,72740769,1136635527,5028575228
65.011889244,109282901,1399924800,69865773,1141947326,5044977607
66.012083803,108738970,1393816114,70053702,1136221342,5027106748
67.012292779,109423279,1404341399,69878044,1146201911,5063705569
68.012467234,108998504,1401092310,72075122,1139838417,5039543021
69.012641046,108217768,1389356210,71169097,1131259830,5001660379
70.012814292,108842007,1395238890,70743390,1136646134,5023646883
71.012993232,109188648,1401259252,71672465,1140697629,5042133426
72.013183387,109255681,1404292130,70981577,1144667361,5057341173
73.013359874,109489160,1405400124,71468520,1144421279,5058512412
74.013553921,108612532,1397881515,71124958,1138790972,5033801857
75.013730272,108637091,1394906753,69706372,1137819650,5031611427
76.013908508,109609075,1404797246,70135929,1145844898,5058622883
77.014090364,109072848,1399584519,71420044,1139556991,5035766102
78.014280332,108726461,1399756004,73019082,1137583803,5027555604
79.014457101,108769944,1397177203,70390337,1139309102,5033337043
80.014632126,108436380,1393236393,71189078,1134255936,5019244837
81.014807046,109068694,1396266882,69259069,1139407854,5032536028
82.01498071,109549573,1406453649,71537402,1145209832,5060722656
