time,SB Resource Stalls,Total Resource Stalls,ROB Resource Stalls,RS Resource Stalls,instructions
1.000135996,107960896,1445871041,57075298,1209154459,6688467261
2.000346469,109483738,1456172755,56958346,1218148901,6730622339
3.000542464,109457881,1455919371,58183029,1216150856,6721781519
4.000720357,109129655,1453718117,55465858,1217898559,6731763990
5.000896843,109324203,1457730860,57717201,1218804217,6743996974
6.001088985,109896267,1463459512,59126998,1220926816,6752939640
7.001263714,109598096,1458788124,58033384,1218865115,6741452269
8.001446595,109489943,1459548294,59139765,1217942128,6746842082
9.001629154,109543741,1461999057,59306243,1220544517,6765908962
10.00181403,109791553,1457886484,59107221,1216300275,6731688111
11.001994551,109324671,1461996058,59083827,1220608790,6775540899
12.002171898,109774779,1463826521,59876133,1220502305,6771367285
13.002364251,109531230,1459449001,59299605,1217995797,6753332629
14.00254145,109540708,1460640216,58904127,1219333349,6751570103
15.002738214,109596714,1457859709,58218410,1217608672,6741918330
16.002937532,108991861,1461270352,58039724,1221627514,6775994586
17.003118294,109323495,1457354247,58041259,1217623038,6742170921
18.003300001,109020709,1459967008,59660434,1217930049,6753620007
19.003481063,109061961,1460528278,58973542,1219286184,6745417367
20.003658837,109504520,1459703096,59922381,1216908677,6738043473
21.003856562,109514845,1459506348,59957268,1216501146,6739054239
22.004035978,109313536,1457293216,57931663,1217854137,6738290827
23.004216364,109528964,1458708800,57485578,1219449993,6749032641
24.004397844,109336413,1457939077,53680150,1219821908,6764872618
25.004580889,109419006,1460260676,53087128,1223567071,6785712778
26.004777609,109253254,1460366108,53762393,1222243179,6772277183
27.004956569,109321024,1459701228,55669061,1218245844,6733209137
28.005133765,109895275,1457058024,52080638,1219945565,6745850916
29.005317218,109948900,1459881036,52902899,1221890474,6775087130
30.005492908,109739867,1456755871,54615619,1221352375,6767145269
31.005675028,109254180,1455611220,55100786,1218643022,6740518874
32.005854594,108986077,1459058366,52484896,1223433735,6788001495
33.006035413,109189647,1458553152,54768577,1219409922,6739082900
34.00621234,109597563,1459970613,55392925,1219456786,6747853011
35.00641133,109662112,1461069725,54755265,1220456695,6761606355
36.006599181,109385364,1457905550,53953198,1219834565,6735672764
37.006787385,109433298,1458179919,53071566,1220741907,6759288928
38.006996053,109169674,1461757089,57009692,1220960176,6761924963
39.007174948,108968533,1458683355,52548453,1221563281,6752914084
40.00735375,108986308,1457136204,53927073,1218374218,6745295799
41.00753305,109295788,1459379104,52977688,1222123580,6764515500
42.00771505,109510202,1461570539,54285394,1221831935,6767849234
43.007905209,109534189,1459334576,54974480,1218732806,6738979363
44.008090245,109858970,1459324971,58091456,1218495216,6740751864
45.008274705,109565134,1459673450,58560817,1218766036,6743336610
46.008458722,108317142,1460399303,58265065,1219930844,6762201738
47.008635974,108444305,1462209369,57965202,1222359395,6765718107
48.008819048,108908383,1457418034,57255994,1218545211,6750365358
48.995004667,106958326,1438168270,57558788,1201304822,6648272434
