time,SB Resource Stalls,Total Resource Stalls,ROB Resource Stalls,RS Resource Stalls,instructions
1.000135085,87009300,1246979683,50100581,1044493555,6123769547
2.000341637,87606461,1255837130,51039359,1051124305,6168688649
3.000511455,88052343,1255095788,49465668,1052510570,6153398558
4.000681794,88141176,1257012676,49589658,1053537925,6158706933
5.000853276,87926799,1255729347,51161003,1050582223,6161289231
6.001038505,88171031,1258524473,50530976,1054157678,6151245727
7.001226852,88423889,1254938708,51182498,1049350116,6138929224
8.001403323,88033357,1258091152,50398290,1053630355,6169687492
9.001583118,88103295,1257832141,51538928,1051933556,6153017553
10.001776781,88300725,1256139304,50936671,1050899478,6142680071
11.001955288,87757100,1257767939,50295916,1054172523,6153623914
12.002144837,88133678,1255418250,50923094,1050161500,6140116587
13.002334069,88045251,1256367034,50316515,1052634586,6153404190
14.002508925,88213833,1257495464,51488389,1051416430,6153275133
15.00267914,88159202,1257909459,49993795,1053781827,6151976866
16.002851828,88020391,1257503469,51417040,1051513657,6155460234
17.003030234,88105546,1255470012,50710933,1050773112,6143990104
18.003219017,87353853,1251347924,49197315,1047895401,6145067497
19.003399754,88208019,1257104701,47558699,1052214326,6147057153
20.003573287,87940265,1257919844,48232964,1052309012,6162522539
21.003745306,88137290,1256855445,47156919,1052622206,6157889241
22.003923793,88390401,1258651773,48294248,1054231241,6156782390
23.004101756,87901675,1255141312,50385589,1050624654,6156924934
24.00429167,87934377,1256260503,49261384,1052525264,6157230482
25.0044667,88308152,1257318392,46793258,1053681101,6174213406
26.004656984,88296627,1260202911,48226172,1054150726,6155237638
27.004830826,87876173,1255223319,48128047,1051176407,6158124144
28.005009752,88318276,1257303704,47184993,1053703059,6155411150
29.005182376,87684814,1257501229,48733602,1051657601,6162508724
30.005369519,87870063,1256071750,48859661,1050543417,6152571083
31.005545538,87906126,1257379961,47443832,1052924102,6156627634
32.005718704,87989947,1259098317,47606471,1054661087,6188074319
33.005898929,88240334,1257121892,48594504,1050931050,6142970557
34.006082578,87811379,1256115592,48095508,1052862156,6161617933
35.006276802,88098511,1257746295,51205879,1051756064,6154873469
36.006462872,88291922,1258477725,47952670,1054219323,6171980597
37.006637059,88337091,1257469576,47225572,1053394955,6161684360
38.006823051,87977781,1255500498,50701745,1051422172,6160840283
39.006997678,87765308,1255065577,48811909,1052462997,6174591413
40.007178443,88290947,1257714160,48411894,1053235954,6157579878
41.007351895,87961384,1255709589,48005635,1052964519,6161676754
42.007537797,88378353,1256641966,51422973,1050136311,6169230292
43.007717202,87557566,1257338539,47107636,1054245301,6173126843
44.007896382,88325223,1260488902,50387895,1054308369,6155793003
45.008063868,87953629,1256113031,45769586,1054322459,6165053124
46.008241511,87535234,1252888281,45015812,1052961995,6185359635
47.008417106,88408919,1257359745,48306238,1053794586,6157560953
48.00860604,88298315,1257342954,47002322,1054236842,6158723418
49.008780641,88338922,1254437058,49563636,1050022734,6156865067
50.008967066,88443118,1258491683,45366035,1056707516,6176881782
51.009139692,88225717,1256862336,48044172,1051647967,6159747180
52.009326006,87960196,1257377995,50326474,1053278555,6167399551
53.009502677,87851197,1256373471,49655076,1053278171,6164652669
54.009695975,88193791,1257447628,50757716,1050601591,6157708762
55.009870313,88127729,1256552146,47785298,1053816211,6159611050
56.010047542,88255069,1256888425,46441999,1053742392,6160926910
57.010232708,88000920,1256224924,46487130,1053220607,6182249245
58.010407931,88292241,1259100560,47199116,1054863327,6170487906
59.010582769,88208894,1256592014,47935987,1051314540,6141502652
60.010774781,88074803,1256683819,50125626,1052549147,6153428482
61.010952599,88192937,1256361978,50334238,1051854414,6160689225
62.011137532,87953997,1256442238,49887644,1052613776,6157387711
63.01132171,86738941,1255939286,50561769,1051239872,6166514875
64.01149545,88141066,1258283558,50155934,1053941311,6154294171
65.011687993,88531153,1258012801,51832207,1050640083,6140073034
66.011884352,87549836,1256243480,50360862,1052216640,6166283363
67.012057393,87621876,1254906280,50015741,1051497709,6157181386
68.012230773,87736514,1257632836,50448084,1053469705,6172035629
69.012420217,88083389,1257582700,49648983,1054192365,6174512698
70.012596564,87789241,1256143243,49772549,1052631058,6155542406
71.012767822,87711736,1255881458,50134529,1052446623,6154824408
72.01296212,88095077,1255362782,49668819,1052376731,6158251391
73.013135368,88176870,1256441723,50024925,1052726772,6157400895
74.013327505,87903866,1256456171,50029909,1052865082,6172123400
75.013500184,87689780,1257250477,50731578,1051890247,6152757431
76.013673369,87190225,1256817512,50134081,1052086670,6156614010
77.013845255,87883657,1258083279,51887053,1051180348,6152214487
78.014031734,87868193,1257733581,51880196,1050918141,6151569590
79.01420458,87781013,1255923740,51058687,1050718746,6151574794
80.014371403,87887349,1259621104,51867702,1052371822,6148509750
80.7401365,64134903,911870809,36938852,762879648,4465473961
