time,SB Resource Stalls,Total Resource Stalls,ROB Resource Stalls,RS Resource Stalls,instructions
1.00013851,111008836,1519657061,42542403,1307318839,9385992339
2.000362634,112802250,1532383468,41151762,1320401796,9470873191
3.000541519,112743775,1531559620,42834614,1317764415,9454505801
4.00071701,112281078,1531709271,41950563,1319501629,9463712561
5.000894172,112593380,1531858552,42764235,1317930304,9450800160
6.001073415,112447742,1533743776,43387876,1318922275,9454993119
7.001250101,111915936,1531664300,42070972,1318868332,9461262617
8.001427615,112121598,1533508886,43983893,1318058965,9453691278
9.001606199,111393987,1535329829,46790446,1316456526,9440801592
10.001787818,112097625,1532280379,43508317,1317090032,9450337529
11.001959855,112074901,1532448292,42026345,1319581155,9465370289
12.00215057,112133207,1532652855,42100295,1319595505,9466856202
13.002344462,111548212,1530735142,41634987,1318847267,9449832220
14.002522596,112241723,1528346610,37131085,1323083474,9495377926
15.002701361,111943977,1530660631,41143613,1319509607,9466215029
16.002880146,112030278,1532869068,42724541,1319492305,9456673260
17.003061706,111917810,1531225822,42191575,1318066246,9453793188
18.003245505,110299989,1532028348,41873742,1320010087,9469109491
19.003425451,111345468,1531194588,43238019,1317091728,9445785840
20.003609623,111621127,1532566872,42313268,1319788711,9460992198
21.003787382,111935221,1531862354,41706676,1319548409,9463265632
22.003962425,108981207,1530037540,42072168,1317549227,9454199512
22.770729862,84971642,1176943777,32786552,1012257522,7260581707
